,journal
10.1103/PhysRevB.1.1336,PRB
10.1103/PhysRevB.1.3058,PRB
10.1103/PhysRevB.1.2430,PRB
10.1103/PhysRevB.1.934,PRB
10.1103/PhysRevB.1.2363,PRB
10.1103/PhysRevB.1.1603,PRB
10.1103/PhysRevB.1.940,PRB
10.1103/PhysRevB.1.3395,PRB
10.1103/PhysRevB.1.1813,PRB
10.1103/PhysRevB.1.2484,PRB
10.1103/PhysRevB.1.1013,PRB
10.1103/PhysRevB.1.647,PRB
10.1103/PhysRevB.1.3240,PRB
10.1103/PhysRevB.1.2357,PRB
10.1103/PhysRevB.1.3831,PRB
10.1103/PhysRevB.1.1468,PRB
10.1103/PhysRevB.1.750,PRB
10.1103/PhysRevB.1.4037,PRB
10.1103/PhysRevB.1.2351,PRB
10.1103/PhysRevB.1.139,PRB
10.1103/PhysRevB.1.2025,PRB
10.1103/PhysRevB.1.2048,PRB
10.1103/PhysRevB.1.1946,PRB
10.1103/PhysRevB.1.1596,PRB
10.1103/PhysRevB.1.2130,PRB
10.1103/PhysRevB.1.2405,PRB
10.1103/PhysRevB.1.1518,PRB
10.1103/PhysRevB.1.3551,PRB
10.1103/PhysRevB.1.3245,PRB
10.1103/PhysRevB.1.4326,PRB
10.1103/PhysRevB.1.1929,PRB
10.1103/PhysRevB.1.3881,PRB
10.1103/PhysRevB.1.3163,PRB
10.1103/PhysRevB.1.4115,PRB
10.1103/PhysRevB.1.1678,PRB
10.1103/PhysRevB.1.3869,PRB
10.1103/PhysRevB.1.305,PRB
10.1103/PhysRevB.1.1091,PRB
10.1103/PhysRevB.1.3545,PRB
10.1103/PhysRevB.1.3450,PRB
10.1103/PhysRevB.1.1211,PRB
10.1103/PhysRevB.1.3097,PRB
10.1103/PhysRevB.1.937,PRB
10.1103/PhysRevB.1.4045,PRB
10.1103/PhysRevB.1.2496,PRB
10.1103/PhysRevB.1.3525,PRB
10.1103/PhysRevB.1.432,PRB
10.1103/PhysRevB.1.2818,PRB
10.1103/PhysRevB.1.2265,PRB
10.1103/PhysRevB.1.1563,PRB
10.1103/PhysRevB.1.2961,PRB
10.1103/PhysRevB.1.3703,PRB
10.1103/PhysRevB.1.3101,PRB
10.1103/PhysRevB.1.2203,PRB
10.1103/PhysRevB.1.31,PRB
10.1103/PhysRevB.1.3884,PRB
10.1103/PhysRevB.1.3896,PRB
10.1103/PhysRevB.1.1908,PRB
10.1103/PhysRevB.1.638,PRB
10.1103/PhysRevB.1.950,PRB
10.1103/PhysRevB.1.2243,PRB
10.1103/PhysRevB.1.2085,PRB
10.1103/PhysRevB.1.1935,PRB
10.1103/PhysRevB.1.4071,PRB
10.1103/PhysRevB.1.366,PRB
10.1103/PhysRevB.1.1644,PRB
10.1103/PhysRevB.1.44,PRB
10.1103/PhysRevB.1.4295,PRB
10.1103/PhysRevB.1.942.6,PRB
10.1103/PhysRevB.1.1166,PRB
10.1103/PhysRevB.1.979,PRB
10.1103/PhysRevB.1.4503,PRB
10.1103/PhysRevB.1.3178,PRB
10.1103/PhysRevB.1.4334,PRB
10.1103/PhysRevB.1.4179,PRB
10.1103/PhysRevB.1.4223,PRB
10.1103/PhysRevB.1.1648,PRB
10.1103/PhysRevB.1.2896,PRB
10.1103/PhysRevB.1.4753,PRB
10.1103/PhysRevB.1.2763,PRB
10.1103/PhysRevB.1.1184,PRB
10.1103/PhysRevB.1.63,PRB
10.1103/PhysRevB.1.1005,PRB
10.1103/PhysRevB.1.3741,PRB
10.1103/PhysRevB.1.4668,PRB
10.1103/PhysRevB.1.4504,PRB
10.1103/PhysRevB.1.2735,PRB
10.1103/PhysRevB.1.4400,PRB
10.1103/PhysRevB.1.2007,PRB
10.1103/PhysRevB.1.942.2,PRB
10.1103/PhysRevB.1.15,PRB
10.1103/PhysRevB.1.4490,PRB
10.1103/PhysRevB.1.3504,PRB
10.1103/PhysRevB.1.3494,PRB
10.1103/PhysRevB.1.1125,PRB
10.1103/PhysRevB.1.687,PRB
10.1103/PhysRevB.1.3629,PRB
10.1103/PhysRevB.1.81,PRB
10.1103/PhysRevB.1.2110,PRB
10.1103/PhysRevB.1.2632,PRB
10.1103/PhysRevB.1.1160,PRB
10.1103/PhysRevB.1.4405,PRB
10.1103/PhysRevB.1.4511,PRB
10.1103/PhysRevB.1.3125,PRB
10.1103/PhysRevB.1.858,PRB
10.1103/PhysRevB.1.2447,PRB
10.1103/PhysRevB.1.1545,PRB
10.1103/PhysRevB.1.1411,PRB
10.1103/PhysRevC.1.1141,PRC
10.1103/PhysRevC.1.1137,PRC
10.1103/PhysRevC.1.468,PRC
10.1103/PhysRevC.1.1982,PRC
10.1103/PhysRevC.1.265,PRC
10.1103/PhysRevC.1.1100,PRC
10.1103/PhysRevC.1.1679,PRC
10.1103/PhysRevC.1.1924,PRC
10.1103/PhysRevC.1.1036,PRC
10.1103/PhysRevC.1.1615,PRC
10.1103/PhysRevC.1.270,PRC
10.1103/PhysRevC.1.734,PRC
10.1103/PhysRevC.1.1342,PRC
10.1103/PhysRevC.1.435,PRC
10.1103/PhysRevC.1.377,PRC
10.1103/PhysRevC.1.1622,PRC
10.1103/PhysRevC.1.1145,PRC
10.1103/PhysRevC.1.1745,PRC
10.1103/PhysRevC.1.695,PRC
10.1103/PhysRevC.1.1041,PRC
10.1103/PhysRevC.1.1850,PRC
10.1103/PhysRevC.1.1821,PRC
10.1103/PhysRevC.1.750,PRC
10.1103/PhysRevC.1.1895,PRC
10.1103/PhysRevC.1.369,PRC
10.1103/PhysRevC.1.358,PRC
10.1103/PhysRevC.1.385,PRC
10.1103/PhysRevC.1.769,PRC
10.1103/PhysRevC.1.1699,PRC
10.1103/PhysRevC.1.936,PRC
10.1103/PhysRevC.1.1418,PRC
10.1103/PhysRevC.1.367,PRC
10.1103/PhysRevC.1.254,PRC
10.1103/PhysRevC.1.1365,PRC
10.1103/PhysRevC.1.408,PRC
10.1103/PhysRevC.1.1432,PRC
10.1103/PhysRevC.1.1093,PRC
10.1103/PhysRevC.1.1126,PRC
10.1103/PhysRevC.1.40,PRC
10.1103/PhysRevC.1.1732,PRC
10.1103/PhysRevC.1.994,PRC
10.1103/PhysRevC.1.2054,PRC
10.1103/PhysRevC.1.750.2,PRC
10.1103/PhysRevC.1.1573,PRC
10.1103/PhysRevC.1.1156,PRC
10.1103/PhysRevC.1.1135,PRC
10.1103/PhysRevC.1.833,PRC
10.1103/PhysRevC.1.923,PRC
10.1103/PhysRevC.1.1085,PRC
10.1103/PhysRevC.1.1994,PRC
10.1103/PhysRevC.1.2157,PRC
10.1103/PhysRevC.1.1260,PRC
10.1103/PhysRevC.1.312,PRC
10.1103/PhysRevC.1.1508,PRC
10.1103/PhysRevC.1.55,PRC
10.1103/PhysRevC.1.1685,PRC
10.1103/PhysRevC.1.601,PRC
10.1103/PhysRevC.1.847,PRC
10.1103/PhysRevC.1.976,PRC
10.1103/PhysRevC.1.322,PRC
10.1103/PhysRevC.1.129,PRC
10.1103/PhysRevC.1.1972,PRC
10.1103/PhysRevC.1.958,PRC
10.1103/PhysRevC.1.2019,PRC
10.1103/PhysRevC.1.523,PRC
10.1103/PhysRevC.1.423,PRC
10.1103/PhysRevC.1.2109,PRC
10.1103/PhysRevC.1.1233,PRC
10.1103/PhysRevC.1.1835,PRC
10.1103/PhysRevC.1.753,PRC
10.1103/PhysRevC.1.1883,PRC
10.1103/PhysRevC.1.825,PRC
10.1103/PhysRevC.1.1693,PRC
10.1103/PhysRevC.1.184,PRC
10.1103/PhysRevC.1.1221,PRC
10.1103/PhysRevC.1.146,PRC
10.1103/PhysRevC.1.17,PRC
10.1103/PhysRevC.1.85,PRC
10.1103/PhysRevC.1.743,PRC
10.1103/PhysRevC.1.1651,PRC
10.1103/PhysRevC.1.1501,PRC
10.1103/PhysRevC.1.736,PRC
10.1103/PhysRevC.1.259,PRC
10.1103/PhysRevC.1.1633,PRC
10.1103/PhysRevC.1.1809,PRC
10.1103/PhysRevC.1.539,PRC
10.1103/PhysRevC.1.2152,PRC
10.1103/PhysRevC.1.1595,PRC
10.1103/PhysRevC.1.1776,PRC
10.1103/PhysRevC.1.1353,PRC
10.1103/PhysRevC.1.1845,PRC
10.1103/PhysRevC.1.1052,PRC
10.1103/PhysRevC.1.741,PRC
10.1103/PhysRevC.1.470,PRC
10.1103/PhysRevC.1.643,PRC
10.1103/PhysRevC.1.414,PRC
10.1103/PhysRevC.1.316,PRC
10.1103/PhysRevC.1.1326,PRC
10.1103/PhysRevC.1.864,PRC
10.1103/PhysRevC.1.726,PRC
10.1103/PhysRevC.1.714,PRC
10.1103/PhysRevC.1.763,PRC
10.1103/PhysRevC.1.1184,PRC
10.1103/PhysRevC.1.1491,PRC
10.1103/PhysRevC.1.507,PRC
10.1103/PhysRevC.1.1138,PRC
10.1103/PhysRevC.1.350,PRC
10.1103/PhysRevC.1.649,PRC
10.1103/PhysRevC.1.816,PRC
10.1103/PhysRevC.1.1640,PRC
10.1103/PhysRevC.1.460,PRC
10.1103/PhysRevC.1.2101,PRC
10.1103/PhysRevC.1.787,PRC
10.1103/PhysRevC.1.1333,PRC
10.1103/PhysRevC.1.411,PRC
10.1103/PhysRevC.1.1167,PRC
10.1103/PhysRevC.1.594,PRC
10.1103/PhysRevC.1.242,PRC
10.1103/PhysRevC.1.631,PRC
10.1103/PhysRevC.1.1377,PRC
10.1103/PhysRevC.1.1945,PRC
10.1103/PhysRevC.1.1960,PRC
10.1103/PhysRevC.1.1752,PRC
10.1103/PhysRevC.1.1906,PRC
10.1103/PhysRevC.1.1069,PRC
10.1103/PhysRevC.1.1,PRC
10.1103/PhysRevC.1.1928,PRC
10.1103/PhysRevC.1.744,PRC
10.1103/PhysRevC.1.888,PRC
10.1103/PhysRevC.1.98,PRC
10.1103/PhysRevC.1.201,PRC
10.1103/PhysRevC.1.1801,PRC
